Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_7     54.509998       137.886505      523.889038      172.100006     
FLOW_OUT_7     60.209999       98.464417       550.595337      104.400002     
FLOW_OUT_7     125.029999      60.906277       363.744293      98.320000      
FLOW_OUT_7     192.000000      0.372437        67.661957       69.260002      
FLOW_OUT_7     157.570007      0.120600        44.863209       48.240002      
FLOW_OUT_7     52.119999       0.087900        32.698799       35.160000      
FLOW_OUT_7     7.700000        0.052860        24.579897       26.430000      
FLOW_OUT_7     10.060000       0.062750        23.343000       20.860001      
FLOW_OUT_7     8.250000        7.073536        304.746246      27.790001      
FLOW_OUT_7     14.400000       21.665401       141.064392      33.279999      
FLOW_OUT_7     66.620003       25.500599       141.475830      37.549999      
FLOW_OUT_7     88.949997       56.472301       286.683899      83.500000      
FLOW_OUT_7     138.669998      46.467403       432.164612      54.250000      
FLOW_OUT_7     122.690002      46.811443       386.199554      46.080002      
FLOW_OUT_7     285.640015      48.386200       366.782959      58.459999      
FLOW_OUT_7     254.139999      1.949565        35.724091       38.279999      
FLOW_OUT_7     151.619995      0.084100        23.463902       25.230000      
FLOW_OUT_7     48.040001       0.042925        15.968101       17.170000      
FLOW_OUT_7     14.620000       0.025380        11.928600       12.500000      
FLOW_OUT_7     5.410000        0.045500        16.925999       10.840000      
FLOW_OUT_7     12.660000       1.959747        713.339905      13.090000      
FLOW_OUT_7     37.650002       32.020199       248.915817      43.380001      
FLOW_OUT_7     109.150002      109.361336      376.611969      115.800003     
FLOW_OUT_7     67.889999       119.864334      276.748962      125.000000     
FLOW_OUT_7     77.660004       98.461975       451.644714      118.500000     
FLOW_OUT_7     112.949997      145.367737      504.402954      162.100006     
FLOW_OUT_7     146.029999      112.030663      370.755920      156.899994     
FLOW_OUT_7     244.229996      4.675740        86.767647       92.980003      
FLOW_OUT_7     272.320007      0.163475        60.812706       65.389999      
FLOW_OUT_7     184.839996      0.093620        43.533302       46.810001      
FLOW_OUT_7     25.330000       0.074240        34.892799       36.299999      
FLOW_OUT_7     14.940000       0.109900        40.882801       29.030001      
FLOW_OUT_7     13.710000       75.464638       1147.052734     120.699997     
FLOW_OUT_7     34.990002       71.272003       105.868011      79.260002      
FLOW_OUT_7     42.610001       65.013496       126.055511      78.919998      
FLOW_OUT_7     46.639999       66.056702       301.165466      67.040001      
FLOW_OUT_7     51.619999       8.422215        88.936989       35.509998      
FLOW_OUT_7     75.379997       73.460228       648.593628      88.680000      
FLOW_OUT_7     105.970001      133.201248      541.764893      157.500000     
FLOW_OUT_7     353.000000      83.679031       303.030304      129.699997     
FLOW_OUT_7     175.979996      0.216525        80.547302       86.610001      
FLOW_OUT_7     27.830000       0.156425        58.190098       62.570000      
FLOW_OUT_7     24.930000       0.119900        45.082401       47.959999      
FLOW_OUT_7     3.530000        0.086180        40.073692       37.590000      
FLOW_OUT_7     8.890000        1.663177        67.320290       29.209999      
FLOW_OUT_7     30.360001       2.381213        34.410522       22.860001      
FLOW_OUT_7     37.720001       1.537135        92.675552       17.240000      
FLOW_OUT_7     40.000000       9.163035        373.619507      27.350000      
FLOW_OUT_7     43.650002       29.703350       427.039276      47.490002      
FLOW_OUT_7     42.340000       166.159988      794.439880      174.000000     
FLOW_OUT_7     52.340000       23.033150       164.215897      67.099998      
FLOW_OUT_7     139.320007      0.257337        41.833679       44.980000      
FLOW_OUT_7     74.980003       0.109547        28.839642       30.680000      
FLOW_OUT_7     18.090000       0.047840        22.245602       20.700001      
FLOW_OUT_7     8.580000        0.045620        21.213301       15.570000      
FLOW_OUT_7     0.320000        0.122200        45.458401       13.490000      
FLOW_OUT_7     2.390000        0.111400        20.943205       11.240000      
FLOW_OUT_7     8.920000        0.160425        59.678097       8.745000       
FLOW_OUT_7     34.740002       0.220100        81.877197       6.373000       
FLOW_OUT_7     33.070000       4.529100        143.112610      14.310000      
FLOW_OUT_7     34.290001       0.807500        150.195007      3.191000       
FLOW_OUT_7     55.840000       2.271227        433.457642      6.596000       
FLOW_OUT_7     198.839996      0.402500        224.594971      0.000000       
FLOW_OUT_7     308.329987      0.010868        6.064530        0.000000       
FLOW_OUT_7     125.529999      0.074460        34.623901       0.000000       
FLOW_OUT_7     38.580002       0.000000        0.000000        0.000000       
FLOW_OUT_7     5.960000        0.000547        0.356376        0.000000       
FLOW_OUT_7     4.310000        0.089350        49.857300       0.000000       
FLOW_OUT_7     5.180000        0.649333        362.327942      0.000000       
FLOW_OUT_7     15.410000       0.296667        165.540009      0.000000       
FLOW_OUT_7     23.180000       0.575328        28.798864       1.636000       
FLOW_OUT_7     25.400000       108.413002      473.626373      163.600006     
FLOW_OUT_7     30.809999       231.865997      973.013855      258.799988     
FLOW_OUT_7     32.810001       25.361277       237.304291      69.529999      
FLOW_OUT_7     35.470001       15.882950       187.637436      55.169998      
FLOW_OUT_7     33.680000       0.276177        33.435181       35.939999      
FLOW_OUT_7     10.440000       0.040067        22.357199       24.040001      
FLOW_OUT_7     0.750000        0.032080        14.917201       16.040001      
FLOW_OUT_7     3.830000        0.024300        11.299500       12.150000      
FLOW_OUT_7     2.030000        0.020420        9.597400        10.210000      
FLOW_OUT_7     1.580000        0.148780        69.182693       8.674000       
FLOW_OUT_7     4.550000        0.065267        18.209400       6.901000       
FLOW_OUT_7     9.700000        0.664250        247.101044      6.911000       
FLOW_OUT_7     14.480000       0.275500        153.729004      4.867000       
FLOW_OUT_7     16.940001       1.637006        112.999771      4.281000       
FLOW_OUT_7     23.990000       2.452030        172.753952      3.604000       
FLOW_OUT_7     69.919998       0.043914        28.588198       0.000000       
FLOW_OUT_7     63.209999       0.000000        0.000000        0.000000       
FLOW_OUT_7     15.770000       0.034114        22.208403       0.000000       
FLOW_OUT_7     3.850000        0.077557        50.489704       0.000000       
FLOW_OUT_7     1.260000        0.000000        0.000108        0.000000       
FLOW_OUT_7     0.340000        0.055243        35.963100       0.000000       
FLOW_OUT_7     0.400000        0.581800        270.536987      0.000000       
FLOW_OUT_7     0.620000        2.282580        113.019897      6.315000       
FLOW_OUT_7     7.900000        2.489313        109.050400      5.100000       
FLOW_OUT_7     0.980000        42.291599       249.438828      65.050003      
FLOW_OUT_7     3.270000        39.987736       709.337585      55.340000      
FLOW_OUT_7     2.240000        20.568800       238.092010      26.049999      
FLOW_OUT_7     0.330000        0.040007        11.853912       10.650000      
FLOW_OUT_7     0.130000        0.005828        3.252210        3.497000       
FLOW_OUT_7     0.000000        0.000115        0.074753        0.080400       
FLOW_OUT_7     0.000000        0.000000        0.000000        0.000000       
FLOW_OUT_7     0.000000        0.040943        26.653797       0.000000       
FLOW_OUT_7     0.290000        0.081814        53.261105       0.419900       
FLOW_OUT_7     0.430000        0.255333        142.476013      1.571000       
NO3_OUT_7     17000.000000    2691.248291     136509.562500   6339.000000    
NO3_OUT_7     510000.000000   29840.367188    544242.312500   42470.000000   
NO3_OUT_7     56000.000000    852.929810      473184.312500   623.200012     
NO3_OUT_7     61000.000000    515.666626      287742.000000   0.000000       
NO3_OUT_7     1100.000000     443.000000      288393.000000   0.000000       
NO3_OUT_7     14.000000       57.200001       37237.199219    0.000000       
NO3_OUT_7     0.230000        230.571426      150102.000000   0.000000       
NO3_OUT_7     5.800000        0.000000        0.000000        0.000000       
NO3_OUT_7     6.400000        0.000000        0.000000        0.000000       
NO3_OUT_7     3.200000        167.571426      109089.000000   0.000000       
NO3_OUT_7     5800.000000     218.714279      142383.000000   0.000000       
NO3_OUT_7     7400.000000     263.166687      146847.000000   0.000000       
