 FLOW_OUT_1
observed       L95PPU         U95PPU         Best_Sim       M95PPU
3.830000        0.141400        26.653898       14.440000       16.275749      
2.030000        0.138200        26.050699       15.120000       16.423506      
1.580000        0.199350        25.091524       15.270000       16.946016      
4.550000        0.185025        23.288477       14.490000       16.008749      
9.700000        1.702217        103.225548      15.850000       29.483292      
14.480000       0.963787        41.965534       12.620000       17.734850      
16.940001       2.525755        45.528645       12.200000       17.298250      
23.990000       1.856365        71.007439       9.229000        17.868666      
69.919998       0.035775        8.776800        1.903000        4.814467       
63.209999       0.017490        5.363600        0.000000        2.407917       
15.770000       0.018491        4.536520        0.000000        1.880392       
3.850000        0.012054        3.756830        0.000000        1.461479       
1.260000        0.017322        5.312080        0.001200        2.023763       
0.340000        0.028838        7.190150        0.855500        3.181358       
0.400000        0.162150        99.451973       3.437000        16.069407      
0.620000        2.893432        56.634155       11.430000       17.078583      
7.900000        3.024710        61.271275       9.531000        16.009916      
0.980000        22.730501       220.607010      73.019997       77.046669      
3.270000        21.053984       430.988831      58.459999       91.671669      
2.240000        2.728828        118.695351      16.309999       26.317667      
0.330000        0.062050        11.417201       3.723000        6.431525       
0.130000        0.023469        7.314505        0.468000        3.541250       
0.000000        0.014943        4.582520        0.000000        2.043667       
0.000000        0.013461        4.195345        0.000000        1.970583       
0.000000        0.016137        5.069708        0.111000        2.728458       
0.290000        0.039970        7.546335        2.800000        4.881459       
0.430000        0.132900        24.453604       4.322000        7.859083       

p-factor= 0.65
r-factor= 1.26
R2= 0.01
Nash_Sutclif= -0.22


 NO3_OUT_7
observed       L95PPU         U95PPU         Best_Sim       M95PPU
17000.000000    643.782227      37258.664063    6725.000000     7586.850098    
510000.000000   2315.683838     302816.156250   45920.000000    71211.750000   
56000.000000    160.736282      88910.062500    1520.000000     9659.708008    
61000.000000    110.519997      67785.593750    0.000000        7148.919434    
1100.000000     21.709091       14646.400391    0.000000        1363.335205    
14.000000       0.000000        0.000000        0.000000        0.000000       
0.230000        0.000000        0.000000        0.000000        0.000000       
5.800000        0.000000        0.000000        0.000000        0.000000       
6.400000        0.000000        0.000000        0.000000        0.000000       
3.200000        0.443833        244.996017      0.000000        29.110868      
5800.000000     23.730000       14554.398438    13.880000       1557.487427    
7400.000000     40.634998       24922.796875    115.099998      2924.791748    

p-factor= 0.58
r-factor= 0.33
R2= 0.96
Nash_Sutclif= 0.04


