.	r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
q_0.79	0.011824217	-0.20309568	0.46496157	-0.33041396	6.0277731	0.19869665	-0.22908552	0.18892482	1.4380075	0.40405097
q_0.795	0.011833181	-0.20097414	0.46535583	-0.32998485	6.0346476	0.19869665	-0.22908552	0.18895436	1.4384488	0.40405097
q_0.8	0.011838523	-0.1996368	0.46563646	-0.329419	6.0416974	0.19873322	-0.2290576	0.18901259	1.4387303	0.40405919
q_0.805	0.011838523	-0.19945616	0.46574949	-0.32865145	6.049006	0.19882374	-0.22898851	0.18911314	1.4387759	0.40407953
q_0.81	0.011878941	-0.19933189	0.46582293	-0.3280944	6.055295	0.19891676	-0.22891004	0.18921056	1.4394072	0.40425475
q_0.815	0.01198424	-0.19929809	0.46583279	-0.32787528	6.0599474	0.19901382	-0.2288165	0.18930299	1.4409786	0.40467857
q_0.82	0.012066177	-0.19919582	0.46588965	-0.32773526	6.0633647	0.19907558	-0.22862146	0.1894675	1.4421537	0.40505289
q_0.825	0.01210723	-0.19897373	0.46602874	-0.32773368	6.0646207	0.19907558	-0.22824881	0.18975816	1.4426353	0.40534058
q_0.83	0.012167648	-0.1987385	0.46612471	-0.32755277	6.0783774	0.19914464	-0.22788651	0.18996982	1.442993	0.40557939
q_0.835	0.012265087	-0.19847812	0.46613823	-0.32702905	6.1160326	0.19934574	-0.22754401	0.19003046	1.4431138	0.40572473
q_0.84	0.012348421	-0.19824281	0.46615566	-0.32625479	6.1422399	0.19948678	-0.22721982	0.19010677	1.4432607	0.40583785
q_0.845	0.012402223	-0.19805996	0.46618125	-0.32495597	6.1444781	0.19950205	-0.22693397	0.1902159	1.4434625	0.40588348
q_0.85	0.012471658	-0.19787053	0.46620042	-0.32385817	6.1485864	0.19958538	-0.2263337	0.19038177	1.4437909	0.40607834
q_0.855	0.012577049	-0.19766594	0.46620486	-0.32322271	6.1569958	0.19982522	-0.22501025	0.19067816	1.4444107	0.40661639
q_0.86	0.012904035	-0.19747022	0.46620804	-0.32235998	6.1754704	0.20004736	-0.22376826	0.1909149	1.4451089	0.40764923
q_0.865	0.013792922	-0.19729698	0.46620804	-0.32092097	6.2194676	0.20022459	-0.22273282	0.1910004	1.4460058	0.40993675
q_0.87	0.014458673	-0.19711601	0.46632305	-0.31943632	6.2523091	0.20038571	-0.22192414	0.19110233	1.4467162	0.4116708
q_0.875	0.014497932	-0.19691334	0.466761	-0.31782358	6.2538292	0.20050159	-0.22175217	0.19125036	1.4469033	0.41185092
q_0.88	0.014532796	-0.19675128	0.46709277	-0.31653837	6.2555953	0.2006154	-0.22158441	0.19137308	1.4471059	0.41229695
q_0.885	0.01455393	-0.19671612	0.46709277	-0.31627668	6.2581305	0.20072274	-0.22142983	0.19141673	1.4473574	0.4135739
q_0.89	0.014649639	-0.19663079	0.46715087	-0.31603127	6.2620261	0.20087871	-0.22120454	0.19147323	1.4480614	0.41468919
q_0.895	0.015006365	-0.19636986	0.46741232	-0.31584285	6.270683	0.20120489	-0.22073176	0.19157473	1.4503496	0.41523865
q_0.9	0.015381839	-0.19609828	0.46772042	-0.31480622	6.2791689	0.20152985	-0.22031649	0.19168912	1.4525212	0.4156966
q_0.905	0.015831368	-0.19578465	0.46821283	-0.31041918	6.2869796	0.20184999	-0.22012834	0.19185447	1.4542325	0.41579309
q_0.91	0.016210988	-0.195455	0.46861879	-0.30668441	6.2946165	0.20217547	-0.21992829	0.19205979	1.4557083	0.41587415
q_0.915	0.016276016	-0.19505321	0.46863575	-0.30588479	6.3014712	0.20252496	-0.21967468	0.19244493	1.4561244	0.41588573
q_0.92	0.016382956	-0.19470915	0.46865981	-0.30518518	6.3077626	0.20284761	-0.21936816	0.19277302	1.456697	0.41593669
q_0.925	0.016707309	-0.19466454	0.46872065	-0.30500434	6.3111314	0.20303105	-0.21878718	0.19280512	1.4580817	0.4161919
q_0.93	0.016993958	-0.19456741	0.46885707	-0.30465042	6.3153055	0.20324449	-0.21821912	0.19284116	1.459277	0.41656514
q_0.935	0.017051692	-0.19415147	0.46945232	-0.30324568	6.3243687	0.20364001	-0.21772959	0.19290102	1.4593221	0.41765507
q_0.94	0.017107397	-0.19377265	0.46997542	-0.30192346	6.3331693	0.20401393	-0.21728604	0.19295961	1.4594646	0.41861634
